productId,userId,rating
2333,1031,5.0
333,513,5.0
2917,1619,5.0
3009,661,5.0
2610,2071,4.0
2300,661,5.0
1382,584,5.0
780,1619,5.0
1036,1210,5.0
174,1034,5.0
418,2326,5.0
1791,1216,4.0
1180,1210,5.0
1126,2071,1.0
3086,302,5.0
973,1216,5.0
161,518,4.0
948,2748,5.0
1963,1186,4.0
1863,2088,4.0
1745,2071,5.0
547,2079,3.0
1322,2088,5.0
1606,2131,5.0
1902,2088,1.0
3453,1210,2.0
3103,2748,5.0
1607,2131,5.0
1172,2285,5.0
1221,2071,4.0
2817,2131,5.0
3101,2748,4.0
1491,892,5.0
2218,2131,4.0
3233,1210,4.0
1892,2327,5.0
1315,2131,4.0
1892,2327,5.0
675,1592,4.0
57,2071,4.0
3095,2327,2.0
675,1210,5.0
1280,2748,5.0
10,1592,3.0
2869,2327,5.0
962,1592,4.0
967,1592,3.0
560,2327,5.0
2357,239,4.0
1237,85,3.0
987,666,4.0
1750,970,4.0
3246,2327,2.0
1976,476,5.0
675,1210,5.0
3183,1675,4.0
660,666,4.0
566,2327,3.0
1634,1754,4.0
1629,666,5.0
1403,2327,3.0
2815,1018,3.0
2386,2327,4.0
174,2816,5.0
60,2327,3.0
1740,201,3.0
2157,2327,2.0
1743,2362,4.0
9,1675,4.0
2271,2327,5.0
1630,666,4.0
60,2816,5.0
2180,2327,3.0
1313,983,5.0
2396,666,4.0
1795,864,3.0
1756,2327,4.0
2652,2170,5.0
1084,476,5.0
399,2703,5.0
2424,666,5.0
1776,2145,4.0
1955,1027,4.0
2508,2579,5.0
2454,821,5.0
2962,845,5.0
174,2,4.0
554,2426,5.0
436,421,5.0
361,182,3.0
2074,2703,5.0
1436,2660,4.0
2648,2429,4.0
1255,1359,4.0
1021,1008,5.0
1673,568,4.0
2149,1008,5.0
1483,2,5.0
1673,568,4.0
2146,1008,5.0
2869,2,5.0
3273,1290,5.0
3057,2683,2.0
2630,2201,3.0
1426,1008,5.0
2456,821,4.0
1112,2,3.0
187,1290,4.0
2131,2426,5.0
2066,2683,5.0
2900,2382,5.0
353,1008,5.0
1523,1897,3.0
2453,821,5.0
3131,515,5.0
2065,2683,3.0
434,421,5.0
1378,1008,4.0
1063,515,5.0
1973,805,5.0
730,1393,2.0
3367,1901,4.0
2098,2654,5.0
2895,2660,5.0
1936,2654,4.0
2402,2703,5.0
1342,1897,5.0
1662,2746,3.0
1524,297,3.0
2890,515,4.0
2827,1008,4.0
499,1897,4.0
1918,297,4.0
2869,2426,4.0
674,1087,4.0
2652,2746,5.0
1926,1246,5.0
2364,289,4.0
2401,1815,4.0
2944,2382,5.0
388,1940,5.0
3248,2703,5.0
3393,2746,4.0
2267,1897,5.0
3095,515,3.0
3087,808,4.0
2097,2,5.0
174,2426,5.0
54,644,4.0
2255,1077,2.0
1215,644,4.0
1463,2746,3.0
1158,2426,4.0
134,1008,3.0
254,1639,3.0
1451,1897,4.0
1911,1620,4.0
1918,515,4.0
2497,2426,5.0
1678,2660,4.0
1046,1359,1.0
175,515,4.0
136,1620,4.0
1424,1008,5.0
54,2048,5.0
3306,2426,5.0
423,1377,3.0
1898,1620,5.0
1023,2455,3.0
2166,1008,5.0
1361,289,4.0
1021,1620,5.0
124,515,4.0
32,2206,5.0
1696,2455,4.0
1720,886,5.0
1639,2426,5.0
1059,25,5.0
2960,977,3.0
342,2712,5.0
2536,1008,5.0
2837,2455,5.0
1366,1562,4.0
2735,2206,4.0
351,2455,4.0
1000,515,5.0
3350,905,5.0
1814,1236,4.0
3246,2799,4.0
2947,2426,4.0
2655,886,5.0
1794,2796,4.0
1094,515,5.0
2733,104,5.0
1897,2206,4.0
2735,886,5.0
2879,2426,5.0
1703,2836,4.0
1631,2500,4.0
32,515,5.0
1691,2799,5.0
208,2790,5.0
2960,630,4.0
2598,502,4.0
3437,1571,5.0
2423,886,3.0
299,25,5.0
2497,2224,5.0
2497,2206,5.0
1447,296,5.0
418,823,5.0
2752,2382,3.0
2661,104,5.0
2160,886,1.0
1936,359,3.0
490,515,3.0
2776,2193,5.0
3086,2700,5.0
2149,2206,5.0
3143,570,5.0
1528,296,4.0
60,515,3.0
1794,285,5.0
1409,2028,4.0
710,1388,4.0
2752,2382,3.0
2271,2206,5.0
2661,2224,5.0
2221,2531,3.0
2271,2753,5.0
3205,2028,4.0
2665,2224,5.0
698,515,5.0
2947,1189,3.0
2877,1751,4.0
245,2666,1.0
2096,927,2.0
1124,1154,5.0
174,2206,5.0
939,2290,4.0
2686,2660,5.0
2766,515,4.0
2356,1689,5.0
2424,1751,4.0
3040,2028,3.0
2149,2053,5.0
1202,2905,5.0
3143,1170,4.0
2869,2053,4.0
1878,2666,5.0
1295,1918,5.0
1969,1154,2.0
1158,2206,4.0
1295,1918,5.0
911,1751,5.0
2175,1846,5.0
3385,2641,4.0
2424,1846,5.0
1907,1154,4.0
1728,2666,3.0
1675,2641,5.0
2106,1846,3.0
3048,1154,3.0
1143,2666,1.0
1195,1918,4.0
1675,2641,4.0
553,1170,5.0
3412,1846,5.0
1253,2290,4.0
3351,2537,3.0
1615,1154,5.0
2404,338,5.0
1677,2666,5.0
215,1918,3.0
2351,2641,5.0
3149,1286,5.0
1563,732,4.0
2539,1918,5.0
1147,2782,5.0
2816,1846,3.0
3212,1693,5.0
2661,2193,5.0
2315,290,5.0
